scaffold,n_molecules,mean_reward,max_reward,min_reward,std_reward
O=C(C1=NN2CCCN=C2N1)c1ccccn1,1,2.2020785808563232,2.2020785808563232,2.2020785808563232,
O=C(C1=NN2CCCN=C2N1)c1ccccc1,4,2.2016156911849976,2.2125966548919678,2.193891763687134,0.008436872410111387
O=C1CN(C(=O)C2=NN3CCCN=C3N2)CCN1,1,2.2014553546905518,2.2014553546905518,2.2014553546905518,
c1ccc(N2CCCCC2)cc1,2,2.2012134790420532,2.2132651805877686,2.189161777496338,0.017043679775623415
O=C1N[C@H]2CN(c3ccccn3)CC[C@@H]2CO1,1,2.200982093811035,2.200982093811035,2.200982093811035,
c1ccc2oc(N3CCCCCCC3)cc2c1,1,2.2008419036865234,2.2008419036865234,2.2008419036865234,
,1,2.2008299827575684,2.2008299827575684,2.2008299827575684,
O=C(Nn1ccnn1)c1ccccc1,3,2.1998488903045654,2.207530975341797,2.194450855255127,0.006832645800162576
c1ccc(-c2ccccc2)cc1,11,2.1998007514260034,2.2113876342773438,2.1898415088653564,0.007683689106515969
c1ccc(N2CCC3(CCNC3)CC2)nc1,1,2.199787139892578,2.199787139892578,2.199787139892578,
O=c1ccn(Nc2ccccn2)cc1,1,2.1976583003997803,2.1976583003997803,2.1976583003997803,
c1ccc(N2CCCCCCC2)nc1,1,2.197476863861084,2.197476863861084,2.197476863861084,
O=c1ccncn1N1CCc2ccccc21,1,2.1973142623901367,2.1973142623901367,2.1973142623901367,
O=C(C1=NN2CCCN=C2N1)c1cccnc1,3,2.1972317695617676,2.1999220848083496,2.1939239501953125,0.0030463729601894773
O=c1ccncn1Nc1ccccc1,1,2.1971752643585205,2.1971752643585205,2.1971752643585205,
c1ccc(N2CCc3ccccc32)cc1,3,2.1961522897084556,2.2113003730773926,2.187842845916748,0.013139221383839128
O=C(CN1CCCCC1)c1ccccc1,3,2.1960779825846353,2.2006778717041016,2.1914563179016113,0.004610815466317342
c1cncc(N2CCCCC2)c1,1,2.1956284046173096,2.1956284046173096,2.1956284046173096,
O=c1ccncn1-c1ccccc1,2,2.1951656341552734,2.2007393836975098,2.189591884613037,0.007882472195901446
c1ccc2c(N3CCCCC3)ccnc2c1,2,2.195063829421997,2.1990299224853516,2.1910977363586426,0.005608902599829778
c1cc2c(cc1N1CCCCCC1)CNCC2,1,2.1942317485809326,2.1942317485809326,2.1942317485809326,
c1ccc(-c2cccnc2)cc1,4,2.19388610124588,2.198080539703369,2.1902101039886475,0.0036146736698177083
O=C(C1=NN2CCCN=C2N1)N1CCCCCCC1,1,2.193751096725464,2.193751096725464,2.193751096725464,
c1cc2cc(N3CCCCCCC3)ncn2c1,1,2.193748712539673,2.193748712539673,2.193748712539673,
c1ccccc1,2,2.1934120655059814,2.199286460876465,2.187537670135498,0.008307649603679345
O=C(Cc1ccccn1)c1ccccc1,1,2.193169116973877,2.193169116973877,2.193169116973877,
c1ccc(-c2cc3ccncc3s2)cc1,1,2.1930713653564453,2.1930713653564453,2.1930713653564453,
c1ccc(-c2ccccn2)cc1,3,2.1926022370656333,2.1949844360351562,2.190422773361206,0.00228757902126091
O=C1N[C@H]2CN(c3ccccc3)CC[C@@H]2CO1,1,2.192152261734009,2.192152261734009,2.192152261734009,
O=C(Nn1ccnn1)c1cc2ccccc2o1,1,2.192127227783203,2.192127227783203,2.192127227783203,
c1ccc(-c2ccncc2)cc1,3,2.1919497648874917,2.1973233222961426,2.188509702682495,0.004714209949761689
C1CCNCC1,1,2.191263198852539,2.191263198852539,2.191263198852539,
O=c1[nH]cc(N2CCCCCCC2)c(=O)[nH]1,1,2.1897804737091064,2.1897804737091064,2.1897804737091064,
C1CCCN(CCCN2CCCCCCC2)CCC1,1,2.1897733211517334,2.1897733211517334,2.1897733211517334,
c1cnc2c(N3CCCOCC3)nccc2c1,1,2.1894686222076416,2.1894686222076416,2.1894686222076416,
O=C(CN1CCCCCCC1)N1CC[CH]CCC1,1,2.1890010833740234,2.1890010833740234,2.1890010833740234,
O=C(Nn1ccnn1)c1ccccn1,1,2.188910484313965,2.188910484313965,2.188910484313965,
c1cc(N2C[C@H]3CCNC[C@H]3C2)ccn1,1,2.188906669616699,2.188906669616699,2.188906669616699,
c1ccc2c(c1)CCN(c1ccncc1)CC2,1,2.1884641647338867,2.1884641647338867,2.1884641647338867,
c1ccc(-c2cc3cccnc3s2)cc1,1,2.188211441040039,2.188211441040039,2.188211441040039,
c1ccc2c(c1)CCN2c1ccncc1,1,2.1881868839263916,2.1881868839263916,2.1881868839263916,
c1ccc(N2CCCCCC2)nc1,1,2.1875455379486084,2.1875455379486084,2.1875455379486084,
